title,id,authors,concepts
The differential mortality of Glasgow Coma Score in patients with and without head injury,https://openalex.org/W2336585702,Alan Cook,"Traumatic brain injury,Glasgow Coma Scale,Medicine,Logistic regression,Head injury,Internal medicine,Mortality rate,Injury Severity Score,Pediatrics,Poison control,Injury prevention,Surgery,Emergency medicine,Psychiatry"
DNA Methylation Biomarkers in Asthma and Allergy,https://openalex.org/W2492947546,"Avery DeVries,Donata Vercelli","Epigenetics,DNA methylation,Allergy,Biology,Phenotype,Disease,Immunology,Methylation,Genetics,Epigenomics,Asthma,Population,Gene,Medicine,Gene expression,Pathology,Environmental health"
Construction of Scalar and Vector Finite Element Families on Polygonal and Polyhedral Meshes,https://openalex.org/W2402240228,Andrew Gillette,"Mathematics,Polygon mesh,Polyhedron,Finite element method,Scalar (mathematics),Polytope,Basis function,Vector space,Regular polygon,Pure mathematics,Mathematical analysis,Geometry,Physics,Thermodynamics"
Constructions of some minimal finite element systems,https://openalex.org/W2129759952,Andrew Gillette,"Mathematics,Finite element method,Element (criminal law),Dimension (graph theory),Mixed finite element method,Degree of a polynomial,Finite element limit analysis,Differential (mechanical device),Pure mathematics,Polynomial,Algebra over a field,Mathematical analysis,Engineering,Physics,Political science,Law,Thermodynamics,Aerospace engineering"
Interpolation error estimates for harmonic coordinates on polytopes,https://openalex.org/W2963598595,Andrew Gillette,"Delaunay triangulation,Mathematics,Interpolation (computer graphics),Polyhedron,Combinatorics,Computer science,Motion (physics),Artificial intelligence"
Trimmed Serendipity Finite Element Differential Forms,https://openalex.org/W2470555777,"Andrew Gillette,Tyler Kloefkorn","Serendipity,Mathematics,Finite element method,Polygon mesh,Polynomial,Differential (mechanical device),Pure mathematics,Element (criminal law),Order (exchange),Combinatorics,Mathematical analysis,Geometry,Physics,Finance,Astronomy,Political science,Law,Economics,Thermodynamics"
Resource efficient real-time processing of Contrast Limited Adaptive Histogram Equalization,https://openalex.org/W2525900780,"Burak Unal,Ali Akoglu","Adaptive histogram equalization,Computer science,Histogram equalization,Histogram,Histogram matching,Block (permutation group theory),Algorithm,Computer vision,Mathematics,Image (mathematics),Geometry"
Value-Based Resource Management in High-Performance Computing Systems,https://openalex.org/W2398534651,"Cihan Tunc,Nirmal Kumbhare,Ali Akoglu,Salim Hariri","Computer science,Resource management (computing),Value (mathematics),Distributed computing,Machine learning"
iWAS – A novel approach to analyzing Next Generation Sequence data for immunology,https://openalex.org/W1928465448,"Adam Buntzman,Ali Akoglu,Baiyu Zhang,Jeffrey A. Frelinger","Biology,Computational biology,Immune receptor,Immune system,Receptor,Immunology,Sequence (biology),Pathogenesis,Disease,Genome-wide association study,Informatics,Gene,Genetics,Bioinformatics,Medicine,Single-nucleotide polymorphism,Genotype,Electrical engineering,Engineering,Pathology"
Just In Time Architecture (JITA) for dynamically composable data centers,https://openalex.org/W2626428974,"Nirmal Kumbhare,Cihan Tunc,Salim Hariri,Ivan B. Djordjević,Ali Akoglu","Computer science,Workload,Quality of service,Architecture,Data center,Throughput,Computer network,Latency (audio),Distributed computing,Operating system,Telecommunications,Wireless,Art,Visual arts"
Robotic laboratory for distance education,https://openalex.org/W2530047200,"Sarah C. Luciano,Alan Kost","Computer science,Human–computer interaction,Artificial intelligence,Computer graphics (images),Computer vision"
Gain stability in fluorine polymer modified PbS quantum dot fiber amplifier,https://openalex.org/W2460572559,Alan Kost,"Fluorine,Quantum dot,Degradation (telecommunications),Polymer,Materials science,Fiber amplifier,Amplifier,Optoelectronics,Chemical engineering,Composite material,Computer science,Telecommunications,CMOS,Engineering,Metallurgy"
